Student Number: 8322889 	 HomeDepartment: 0045 	 Program: JA   	 Year: 3	Student LastName: Morrison
Student Number: 8400001 	 HomeDepartment: 0251 	 Program: CT   	 Year: 2	Student LastName: Smith
Student Number: 8400342 	 HomeDepartment: 0045 	 Program: JA   	 Year: 1	Student LastName: LaPorte
Student Number: 8367091 	 HomeDepartment: 0341 	 Program: TXT  	 Year: 1	Student LastName: White
Student Number: 8412094 	 HomeDepartment: 0251 	 Program: EST  	 Year: 1	Student LastName: Phillips
Student Number: 8300500 	 HomeDepartment: 0251 	 Program: CT   	 Year: 1	Student LastName: Last
Student Number: 8499120 	 HomeDepartment: 0341 	 Program: RST  	 Year: 1	Student LastName: Black
Student Number: 8388231 	 HomeDepartment: 0251 	 Program: CT   	 Year: 1	Student LastName: Woods
Student Number: 8255999 	 HomeDepartment: 0451 	 Program: WET  	 Year: 2	Student LastName: Sykes
Student Number: 8322188 	 HomeDepartment: 0251 	 Program: CT   	 Year: 2	Student LastName: Newman
Student Number: 8400912 	 HomeDepartment: 0045 	 Program: RFM  	 Year: 1	Student LastName: Green
Student Number: 8301164 	 HomeDepartment: 0251 	 Program: EST  	 Year: 1	Student LastName: Bannister
Student Number: 8300000 	 HomeDepartment: 0341 	 Program: TXT  	 Year: 1	Student LastName: Walker
Student Number: 8422911 	 HomeDepartment: 0341 	 Program: RST  	 Year: 1	Student LastName: Johnston
Student Number: 8422991 	 HomeDepartment: 0045 	 Program: JA   	 Year: 2	Student LastName: Card
Student Number: 8500453 	 HomeDepartment: 0251 	 Program: EST  	 Year: 1	Student LastName: Banks
Student Number: 8500000 	 HomeDepartment: 0334 	 Program: ENT  	 Year: 1	Student LastName: West
Student Number: 8306700 	 HomeDepartment: 0251 	 Program: CT   	 Year: 2	Student LastName: Jones
Student Number: 8322189 	 HomeDepartment: 0251 	 Program: CT   	 Year: 1	Student LastName: Hopper
Student Number: 8508883 	 HomeDepartment: 0341 	 Program: TXT  	 Year: 1	Student LastName: Fisher
Student Number: 8503881 	 HomeDepartment: 0251 	 Program: EST  	 Year: 1	Student LastName: Appleford
Student Number: 8400000 	 HomeDepartment: 0334 	 Program: ENT  	 Year: 2	Student LastName: Watson
Student Number: 8399129 	 HomeDepartment: 0334 	 Program: ENT  	 Year: 1	Student LastName: Jordan
Student Number: 8399000 	 HomeDepartment: 0334 	 Program: ENT  	 Year: 1	Student LastName: Doyle
Student Number: 8500060 	 HomeDepartment: 0341 	 Program: RST  	 Year: 1	Student LastName: Watts
Student Number: 8499341 	 HomeDepartment: 0341 	 Program: TXT  	 Year: 1	Student LastName: Waters
